username,repo_name,repo_url,stars
public-apis,public-apis,https://github.com/public-apis/public-apis,167000
httpie,httpie,https://github.com/httpie/httpie,52700
neovim,neovim,https://github.com/neovim/neovim,48400
strapi,strapi,https://github.com/strapi/strapi,40800
tiangolo,fastapi,https://github.com/tiangolo/fastapi,37800
slatedocs,slate,https://github.com/slatedocs/slate,33300
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,32600
hasura,graphql-engine,https://github.com/hasura/graphql-engine,24400
YMFE,yapi,https://github.com/YMFE/yapi,22900
encode,django-rest-framework,https://github.com/encode/django-rest-framework,22200
ccxt,ccxt,https://github.com/ccxt/ccxt,21900
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,21900
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,21800
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,20600
FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,20000
Kong,insomnia,https://github.com/Kong/insomnia,18500
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,17800
pubkey,rxdb,https://github.com/pubkey/rxdb,16500
shieldfy,API-Security-Checklist,https://github.com/shieldfy/API-Security-Checklist,16100
learn-anything,learn-anything,https://github.com/learn-anything/learn-anything,13500
youfou,wxpy,https://github.com/youfou/wxpy,13000
directus,directus,https://github.com/directus/directus,12700
jsdoc,jsdoc,https://github.com/jsdoc/jsdoc,12500
BrainJS,brain.js,https://github.com/BrainJS/brain.js,12300
ChainSafe,web3.js,https://github.com/ChainSafe/web3.js,11900
graphile,postgraphile,https://github.com/graphile/postgraphile,10800
micro,micro,https://github.com/micro/micro,10700
go-chi,chi,https://github.com/go-chi/chi,10400
postmanlabs,httpbin,https://github.com/postmanlabs/httpbin,10300
OpenAPITools,openapi-generator,https://github.com/OpenAPITools/openapi-generator,10300
