username,repo_name,repo_url,stars
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,10000
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,9800
bitwarden,server,https://github.com/bitwarden/server,8600
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,6700
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,6000
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,4700
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,4300
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2500
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2300
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2100
loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,1800
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1500
mjebrahimi,Awesome-Microservices-NetCore,https://github.com/mjebrahimi/Awesome-Microservices-NetCore,1400
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1200
lampo1024,DncZeus,https://github.com/lampo1024/DncZeus,1200
MarimerLLC,csla,https://github.com/MarimerLLC/csla,957
riganti,dotvvm,https://github.com/riganti/dotvvm,573
cornflourblue,aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,566
antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,491
chsakell,mvcarchitecture,https://github.com/chsakell/mvcarchitecture,447
brthor,Gofer.NET,https://github.com/brthor/Gofer.NET,419
YAFNET,YAFNET,https://github.com/YAFNET/YAFNET,412
Maarten88,rrod,https://github.com/Maarten88/rrod,377
SapphireDb,SapphireDb,https://github.com/SapphireDb/SapphireDb,359
IvanJosipovic,BlazorTable,https://github.com/IvanJosipovic/BlazorTable,351
Taritsyn,WebMarkupMin,https://github.com/Taritsyn/WebMarkupMin,336
chsakell,aspnet-core-identity,https://github.com/chsakell/aspnet-core-identity,306
EEParker,aspnetcore-vueclimiddleware,https://github.com/EEParker/aspnetcore-vueclimiddleware,300
ALMMa,datatables.aspnet,https://github.com/ALMMa/datatables.aspnet,284
cornflourblue,aspnet-core-jwt-authentication-api,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api,276
