username,repo_name,repo_url,stars
sindresorhus,awesome,https://github.com/sindresorhus/awesome,175000
vinta,awesome-python,https://github.com/vinta/awesome-python,107000
avelino,awesome-go,https://github.com/avelino/awesome-go,70500
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,67600
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,52200
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,50000
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,48200
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,47600
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,46100
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,44100
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,43000
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,41600
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,38600
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,38500
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,38100
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,36400
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,36200
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,34600
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,33400
dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,32800
akullpp,awesome-java,https://github.com/akullpp/awesome-java,30500
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,28600
dkhamsing,open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,28600
brillout,awesome-react-components,https://github.com/brillout/awesome-react-components,28400
ziadoz,awesome-php,https://github.com/ziadoz/awesome-php,25900
herrbischoff,awesome-macos-command-line,https://github.com/herrbischoff/awesome-macos-command-line,25600
goabstract,Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,23600
rust-unofficial,awesome-rust,https://github.com/rust-unofficial/awesome-rust,22600
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,22400
sindresorhus,awesome-electron,https://github.com/sindresorhus/awesome-electron,22100
