username,repo_name,repo_url,stars
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,98200
nvm-sh,nvm,https://github.com/nvm-sh/nvm,52900
junegunn,fzf,https://github.com/junegunn/fzf,40200
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,27900
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,27100
koalaman,shellcheck,https://github.com/koalaman/shellcheck,26700
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,25500
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,24200
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,22400
starship,starship,https://github.com/starship/starship,19600
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,17200
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,14000
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,13400
powerline,powerline,https://github.com/powerline/powerline,12900
shelljs,shelljs,https://github.com/shelljs/shelljs,12800
Bash-it,bash-it,https://github.com/Bash-it/bash-it,12600
jessfraz,dockerfiles,https://github.com/jessfraz/dockerfiles,12100
faressoft,terminalizer,https://github.com/faressoft/terminalizer,12100
denisidoro,navi,https://github.com/denisidoro/navi,9900
codota,TabNine,https://github.com/codota/TabNine,8800
rgcr,m-cli,https://github.com/rgcr/m-cli,8600
alexanderepstein,Bash-Snippets,https://github.com/alexanderepstein/Bash-Snippets,8500
kanaka,mal,https://github.com/kanaka/mal,8200
direnv,direnv,https://github.com/direnv/direnv,8100
skywind3000,awesome-cheatsheets,https://github.com/skywind3000/awesome-cheatsheets,7800
withfig,autocomplete,https://github.com/withfig/autocomplete,7100
angristan,openvpn-install,https://github.com/angristan/openvpn-install,7000
carlospolop,PEASS-ng,https://github.com/carlospolop/PEASS-ng,6800
Mayccoll,Gogh,https://github.com/Mayccoll/Gogh,6400
extrawurst,gitui,https://github.com/extrawurst/gitui,6300
