username,repo_name,repo_url,stars
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,56800
neovim,neovim,https://github.com/neovim/neovim,48400
git,git,https://github.com/git/git,40000
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,34600
obsproject,obs-studio,https://github.com/obsproject/obs-studio,32600
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,28600
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,26800
vim,vim,https://github.com/vim/vim,25100
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,22800
curl,curl,https://github.com/curl/curl,22500
huihut,interview,https://github.com/huihut/interview,21200
ruby,ruby,https://github.com/ruby/ruby,18600
google,flatbuffers,https://github.com/google/flatbuffers,17000
mpv-player,mpv,https://github.com/mpv-player/mpv,16700
pbatard,rufus,https://github.com/pbatard/rufus,16600
oracle,graal,https://github.com/oracle/graal,16100
radareorg,radare2,https://github.com/radareorg/radare2,15200
shadowsocks,shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,14600
microsoft,vcpkg,https://github.com/microsoft/vcpkg,14100
allinurl,goaccess,https://github.com/allinurl/goaccess,14000
vurtun,nuklear,https://github.com/vurtun/nuklear,13300
jarun,nnn,https://github.com/jarun/nnn,12800
facebook,infer,https://github.com/facebook/infer,12700
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,12600
CoatiSoftware,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,12100
TheAlgorithms,C,https://github.com/TheAlgorithms/C,11500
s-matyukevich,raspberry-pi-os,https://github.com/s-matyukevich/raspberry-pi-os,10900
qmk,qmk_firmware,https://github.com/qmk/qmk_firmware,10900
hashcat,hashcat,https://github.com/hashcat/hashcat,10800
jonas,tig,https://github.com/jonas/tig,10400
