username,repo_name,repo_url,stars
ovity,octotree,https://github.com/ovity/octotree,21600
gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,5800
danger,danger,https://github.com/danger/danger,4700
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,4400
danger,danger-js,https://github.com/danger/danger-js,4000
joho,awesome-code-review,https://github.com/joho/awesome-code-review,3200
houndci,hound,https://github.com/houndci/hound,1900
ajinabraham,nodejsscan,https://github.com/ajinabraham/nodejsscan,1900
mbj,mutant,https://github.com/mbj/mutant,1800
microsoft,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,1800
crev-dev,cargo-crev,https://github.com/crev-dev/cargo-crev,1400
reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,1400
ryanmcdermott,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,1000
bit4woo,python_sec,https://github.com/bit4woo/python_sec,1000
code-review-checklists,java-concurrency,https://github.com/code-review-checklists/java-concurrency,968
jiangsir404,Audit-Learning,https://github.com/jiangsir404/Audit-Learning,815
TeamCodeStream,codestream,https://github.com/TeamCodeStream/codestream,689
enlightn,enlightn,https://github.com/enlightn/enlightn,573
uwolfer,gerrit-intellij-plugin,https://github.com/uwolfer/gerrit-intellij-plugin,425
palantir,policy-bot,https://github.com/palantir/policy-bot,423
bsamseth,cpp-project,https://github.com/bsamseth/cpp-project,422
mookid,diffr,https://github.com/mookid/diffr,388
mgreiler,code-review-checklist,https://github.com/mgreiler/code-review-checklist,340
sjparkinson,static-review,https://github.com/sjparkinson/static-review,329
dpnishant,raptor,https://github.com/dpnishant/raptor,325
burrito-brothers,shiba,https://github.com/burrito-brothers/shiba,286
charignon,github-review,https://github.com/charignon/github-review,255
src-d,lookout,https://github.com/src-d/lookout,143
uwolfer,gerrit-rest-java-client,https://github.com/uwolfer/gerrit-rest-java-client,140
thesp0nge,owasp-orizon,https://github.com/thesp0nge/owasp-orizon,133
