username,repo_name,repo_url,stars
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,136000
httpie,httpie,https://github.com/httpie/httpie,52700
junegunn,fzf,https://github.com/junegunn/fzf,40200
sharkdp,bat,https://github.com/sharkdp/bat,30200
wagoodman,dive,https://github.com/wagoodman/dive,28300
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,28100
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,28000
chubin,cheat.sh,https://github.com/chubin/cheat.sh,27600
cli,cli,https://github.com/cli/cli,26200
angular,angular-cli,https://github.com/angular/angular-cli,25000
spf13,cobra,https://github.com/spf13/cobra,23900
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,22400
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,21900
google,python-fire,https://github.com/google/python-fire,20400
tqdm,tqdm,https://github.com/tqdm/tqdm,20000
sharkdp,fd,https://github.com/sharkdp/fd,19400
avajs,ava,https://github.com/avajs/ava,19400
vercel,pkg,https://github.com/vercel/pkg,19100
n8n-io,n8n,https://github.com/n8n-io/n8n,18700
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,17700
chalk,chalk,https://github.com/chalk/chalk,17300
vadimdemedes,ink,https://github.com/vadimdemedes/ink,17100
svg,svgo,https://github.com/svg/svgo,16900
urfave,cli,https://github.com/urfave/cli,16800
gpakosz,.tmux,https://github.com/gpakosz/.tmux,15300
allinurl,goaccess,https://github.com/allinurl/goaccess,14000
FormidableLabs,webpack-dashboard,https://github.com/FormidableLabs/webpack-dashboard,13800
infinitered,ignite,https://github.com/infinitered/ignite,13200
jarun,nnn,https://github.com/jarun/nnn,12800
pomber,git-history,https://github.com/pomber/git-history,12700
