username,repo_name,repo_url,stars
vercel,next.js,https://github.com/vercel/next.js,76400
rust-lang,rust,https://github.com/rust-lang/rust,60200
webpack,webpack,https://github.com/webpack/webpack,59700
sveltejs,svelte,https://github.com/sveltejs/svelte,52000
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,51700
babel,babel,https://github.com/babel/babel,39900
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,39400
JetBrains,kotlin,https://github.com/JetBrains/kotlin,39300
evanw,esbuild,https://github.com/evanw/esbuild,28600
markedjs,marked,https://github.com/markedjs/marked,26300
vlang,v,https://github.com/vlang/v,25900
vercel,pkg,https://github.com/vercel/pkg,19100
v8,v8,https://github.com/v8/v8,18600
swc-project,swc,https://github.com/swc-project/swc,17200
AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,13000
Konloch,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,12500
nim-lang,Nim,https://github.com/nim-lang/Nim,12100
ziglang,zig,https://github.com/ziglang/zig,11000
gopherjs,gopherjs,https://github.com/gopherjs/gopherjs,10600
RustPython,RustPython,https://github.com/RustPython/RustPython,9700
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,9700
apache,tvm,https://github.com/apache/tvm,7300
JetBrains,kotlin-native,https://github.com/JetBrains/kotlin-native,7100
numba,numba,https://github.com/numba/numba,7000
elm,compiler,https://github.com/elm/compiler,6600
aalhour,awesome-compilers,https://github.com/aalhour/awesome-compilers,6300
Nuitka,Nuitka,https://github.com/Nuitka/Nuitka,6000
DoctorWkt,acwj,https://github.com/DoctorWkt/acwj,5700
rescript-lang,rescript-compiler,https://github.com/rescript-lang/rescript-compiler,5600
lebab,lebab,https://github.com/lebab/lebab,5500
